Country,Market Year,Calendar Year,Month,Area Harvested,Area Planted,Beginning Stocks,CY Exp. to U.S.,CY Exports,CY Imp. from U.S.,CY Imports,Ending Stocks,Feed Waste Dom. Cons.,Food Use Dom. Cons.,Industrial Dom. Cons.,MY Exp. to EU,MY Exports,MY Imp. from EU,MY Imp. from U.S.,MY Imports,Production,Total Distribution,Total Dom. Cons.,Total Supply,Trees
Brazil,2018,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,91.0,1.0,0.0,91.0,0.0,0.0,0.0,78.0,0.0,91.0,0.0,92.0,91.0,92.0,0.0
Brazil,2019,2021,10,0.0,0.0,1.0,0.0,0.0,0.0,111.0,2.0,0.0,110.0,0.0,0.0,0.0,96.0,0.0,111.0,0.0,112.0,110.0,112.0,0.0
Brazil,2020,2022,3,0.0,0.0,2.0,0.0,0.0,0.0,98.0,2.0,0.0,98.0,0.0,0.0,0.0,81.0,0.0,98.0,0.0,100.0,98.0,100.0,0.0
Brazil,2021,2023,4,0.0,0.0,2.0,0.0,0.0,0.0,110.0,2.0,0.0,110.0,0.0,0.0,0.0,84.0,0.0,110.0,0.0,112.0,110.0,112.0,0.0
Brazil,2022,2023,4,0.0,0.0,2.0,0.0,0.0,0.0,75.0,2.0,0.0,75.0,0.0,0.0,0.0,65.0,0.0,75.0,0.0,77.0,75.0,77.0,0.0
Brazil,2023,2024,1,0.0,0.0,2.0,0.0,0.0,0.0,98.0,2.0,0.0,75.0,0.0,0.0,0.0,85.0,0.0,75.0,0.0,77.0,75.0,77.0,0.0
Canada,2014,2019,3,0.0,0.0,2.0,0.0,0.0,2.0,37.0,1.0,0.0,38.0,0.0,0.0,1.0,30.0,0.0,38.0,0.0,40.0,38.0,40.0,0.0
Canada,2015,2019,3,0.0,0.0,1.0,0.0,1.0,2.0,44.0,1.0,0.0,41.0,0.0,0.0,1.0,35.0,3.0,42.0,0.0,43.0,41.0,43.0,0.0
Canada,2016,2019,3,0.0,0.0,1.0,0.0,1.0,2.0,40.0,1.0,0.0,40.0,0.0,0.0,2.0,32.0,2.0,42.0,0.0,43.0,40.0,43.0,0.0
Canada,2017,2021,3,0.0,0.0,1.0,0.0,1.0,3.0,50.0,2.0,0.0,46.0,0.0,0.0,1.0,35.0,0.0,48.0,0.0,49.0,46.0,49.0,0.0
Canada,2018,2021,3,0.0,0.0,2.0,0.0,1.0,3.0,47.0,2.0,0.0,47.0,0.0,0.0,0.0,35.0,2.0,47.0,0.0,49.0,47.0,49.0,0.0
Canada,2019,2023,4,0.0,0.0,2.0,0.0,0.0,3.0,62.0,5.0,0.0,56.0,0.0,0.0,0.0,45.0,3.0,59.0,0.0,61.0,56.0,61.0,0.0
Canada,2020,2023,4,0.0,0.0,5.0,0.0,0.0,2.0,52.0,5.0,0.0,56.0,0.0,0.0,0.0,41.0,3.0,56.0,0.0,61.0,56.0,61.0,0.0
Canada,2021,2023,7,0.0,0.0,5.0,0.0,1.0,1.0,59.0,2.0,0.0,58.0,0.0,0.0,1.0,40.0,3.0,56.0,0.0,61.0,58.0,61.0,0.0
Canada,2022,2023,7,0.0,0.0,2.0,0.0,0.0,0.0,42.0,2.0,0.0,45.0,0.0,0.0,0.0,35.0,4.0,45.0,0.0,47.0,45.0,47.0,0.0
Canada,2023,2024,1,0.0,0.0,2.0,0.0,0.0,1.0,58.0,2.0,0.0,35.0,0.0,0.0,0.0,41.0,3.0,35.0,0.0,37.0,35.0,37.0,0.0
China,2014,2020,4,86.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,40.0,0.0,0.0,0.0,34.0,0.0,37.0,3.0,40.0,40.0,40.0,0.0
China,2015,2020,4,86.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,46.0,0.0,0.0,0.0,40.0,0.0,41.0,5.0,46.0,46.0,46.0,0.0
China,2016,2020,4,86.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,49.0,0.0,0.0,0.0,42.0,0.0,44.0,5.0,49.0,49.0,49.0,0.0
China,2017,2021,3,86.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,48.0,0.0,0.0,0.0,45.0,0.0,42.0,6.0,48.0,48.0,48.0,0.0
China,2018,2021,3,86.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,56.0,0.0,0.0,0.0,45.0,0.0,50.0,6.0,56.0,56.0,56.0,0.0
China,2019,2021,3,86.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,62.0,0.0,0.0,0.0,45.0,0.0,55.0,7.0,62.0,62.0,62.0,0.0
China,2020,2023,4,86.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,60.0,0.0,0.0,0.0,45.0,0.0,52.0,8.0,60.0,60.0,60.0,0.0
China,2021,2023,4,86.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,62.0,0.0,0.0,0.0,46.0,0.0,54.0,8.0,62.0,62.0,62.0,0.0
China,2022,2023,9,86.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,43.0,0.0,0.0,0.0,40.0,0.0,35.0,8.0,43.0,43.0,43.0,0.0
China,2023,2024,1,86.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,38.0,0.0,0.0,0.0,30.0,0.0,30.0,8.0,38.0,38.0,38.0,0.0
Chile,2014,2018,4,0.0,0.0,3.0,0.0,15.0,0.0,1.0,1.0,0.0,7.0,0.0,4.0,15.0,0.0,0.0,1.0,19.0,23.0,7.0,23.0,0.0
Chile,2015,2018,4,0.0,0.0,1.0,0.0,11.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,1.0,18.0,20.0,6.0,20.0,0.0
Chile,2016,2021,3,0.0,0.0,3.0,0.0,14.0,0.0,1.0,4.0,0.0,6.0,0.0,2.0,14.0,0.0,0.0,1.0,20.0,24.0,6.0,24.0,0.0
Chile,2017,2021,3,0.0,0.0,4.0,0.0,15.0,0.0,3.0,8.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,3.0,22.0,29.0,6.0,29.0,0.0
Chile,2018,2021,3,0.0,0.0,8.0,0.0,10.0,0.0,2.0,12.0,0.0,6.0,0.0,1.0,11.0,0.0,0.0,2.0,19.0,29.0,6.0,29.0,0.0
Chile,2019,2022,7,0.0,0.0,12.0,0.0,12.0,0.0,2.0,12.0,0.0,6.0,0.0,1.0,16.0,0.0,0.0,2.0,20.0,34.0,6.0,34.0,0.0
Chile,2020,2023,4,0.0,0.0,12.0,0.0,12.0,0.0,2.0,14.0,0.0,8.0,0.0,1.0,13.0,0.0,0.0,2.0,21.0,35.0,8.0,35.0,0.0
Chile,2021,2023,4,0.0,0.0,14.0,0.0,20.0,0.0,2.0,16.0,0.0,8.0,0.0,1.0,15.0,0.0,0.0,3.0,22.0,39.0,8.0,39.0,0.0
Chile,2022,2023,4,0.0,0.0,16.0,0.0,20.0,0.0,2.0,14.0,0.0,8.0,0.0,1.0,19.0,0.0,0.0,2.0,23.0,41.0,8.0,41.0,0.0
Chile,2023,2024,1,0.0,0.0,14.0,0.0,20.0,0.0,2.0,12.0,0.0,8.0,0.0,1.0,19.0,0.0,0.0,2.0,23.0,39.0,8.0,39.0,0.0
European Union,2014,2020,9,0.0,0.0,579.0,196.0,554.0,0.0,250.0,133.0,0.0,1550.0,20.0,0.0,564.0,0.0,0.0,253.0,1435.0,2267.0,1570.0,2267.0,6750.0
European Union,2015,2020,9,0.0,0.0,133.0,260.0,686.0,0.0,114.0,315.0,0.0,1550.0,20.0,0.0,672.0,0.0,0.0,100.0,2324.0,2557.0,1570.0,2557.0,6780.0
European Union,2016,2021,5,0.0,0.0,309.0,240.0,650.0,0.0,100.0,82.0,0.0,1380.0,20.0,0.0,691.0,0.0,0.0,112.0,1752.0,2173.0,1400.0,2173.0,6800.0
European Union,2017,2021,5,0.0,0.0,82.0,240.0,660.0,0.0,200.0,363.0,0.0,1390.0,20.0,0.0,710.0,0.0,0.0,213.0,2188.0,2483.0,1410.0,2483.0,6850.0
European Union,2018,2023,4,0.0,0.0,363.0,240.0,660.0,0.0,150.0,593.0,0.0,1400.0,20.0,0.0,795.0,0.0,0.0,181.0,2264.0,2808.0,1420.0,2808.0,6900.0
European Union,2019,2023,4,0.0,0.0,593.0,250.0,670.0,0.0,220.0,441.0,0.0,1425.0,20.0,0.0,910.0,0.0,0.0,278.0,1925.0,2796.0,1445.0,2796.0,6900.0
European Union,2020,2023,9,0.0,0.0,441.0,240.0,725.0,0.0,170.0,341.0,0.0,1425.0,20.0,0.0,895.0,0.0,0.0,189.0,2051.0,2681.0,1445.0,2681.0,6900.0
European Union,2021,2023,9,0.0,0.0,341.0,250.0,1000.0,0.0,200.0,411.0,0.0,1440.0,20.0,0.0,919.0,0.0,0.0,177.0,2272.0,2790.0,1460.0,2790.0,6900.0
European Union,2022,2024,1,0.0,0.0,411.0,260.0,800.0,0.0,200.0,149.0,0.0,1175.0,15.0,0.0,657.0,0.0,0.0,193.0,1392.0,1996.0,1190.0,1996.0,6900.0
European Union,2023,2024,1,0.0,0.0,149.0,280.0,1000.0,0.0,200.0,149.0,0.0,1075.0,15.0,0.0,475.0,0.0,0.0,150.0,1415.0,1714.0,1090.0,1714.0,6900.0
Israel,2014,2016,11,0.0,0.0,9.0,0.0,0.0,0.0,4.0,11.0,0.0,20.0,1.0,0.0,0.0,4.0,0.0,4.0,19.0,32.0,21.0,32.0,0.0
Israel,2015,2021,2,0.0,0.0,11.0,0.0,0.0,0.0,5.0,13.0,0.0,21.0,1.0,0.0,0.0,5.0,0.0,6.0,18.0,35.0,22.0,35.0,0.0
Israel,2016,2021,3,0.0,0.0,13.0,0.0,0.0,0.0,5.0,12.0,0.0,22.0,1.0,0.0,1.0,5.0,0.0,5.0,18.0,36.0,23.0,36.0,0.0
Israel,2017,2021,3,0.0,0.0,12.0,0.0,0.0,0.0,8.0,12.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,8.0,17.0,37.0,24.0,37.0,0.0
Israel,2018,2021,3,0.0,0.0,12.0,0.0,0.0,0.0,10.0,12.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,12.0,14.0,38.0,25.0,38.0,0.0
Israel,2019,2021,3,0.0,0.0,12.0,0.0,0.0,0.0,10.0,15.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,10.0,19.0,41.0,25.0,41.0,0.0
Israel,2020,2023,4,0.0,0.0,15.0,0.0,0.0,0.0,8.0,13.0,0.0,25.0,1.0,0.0,1.0,0.0,0.0,13.0,12.0,40.0,26.0,40.0,0.0
Israel,2021,2023,4,0.0,0.0,13.0,0.0,0.0,0.0,12.0,9.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,15.0,10.0,38.0,28.0,38.0,0.0
Israel,2022,2023,4,0.0,0.0,9.0,0.0,0.0,0.0,9.0,6.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,10.0,15.0,34.0,27.0,34.0,0.0
Israel,2023,2024,1,0.0,0.0,6.0,0.0,0.0,0.0,10.0,6.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,10.0,19.0,35.0,28.0,35.0,0.0
Japan,2014,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,62.0,0.0,0.0,0.0,59.0,0.0,62.0,0.0,62.0,62.0,62.0,0.0
Japan,2015,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,56.0,0.0,0.0,0.0,55.0,0.0,56.0,0.0,56.0,56.0,56.0,0.0
Japan,2016,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,58.0,0.0,0.0,0.0,57.0,0.0,58.0,0.0,58.0,58.0,58.0,0.0
Japan,2017,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,57.0,57.0,57.0,0.0
Japan,2018,2020,5,0.0,0.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,69.0,0.0,0.0,0.0,57.0,0.0,71.0,0.0,71.0,69.0,71.0,0.0
Japan,2019,2023,4,0.0,0.0,2.0,0.0,0.0,0.0,72.0,3.0,0.0,71.0,0.0,0.0,0.0,70.0,0.0,72.0,0.0,74.0,71.0,74.0,0.0
Japan,2020,2023,4,0.0,0.0,3.0,0.0,0.0,0.0,68.0,2.0,0.0,69.0,0.0,0.0,0.0,65.0,0.0,68.0,0.0,71.0,69.0,71.0,0.0
Japan,2021,2023,4,0.0,0.0,2.0,0.0,0.0,0.0,75.0,2.0,0.0,65.0,0.0,0.0,0.0,60.0,0.0,65.0,0.0,67.0,65.0,67.0,0.0
Japan,2022,2024,1,0.0,0.0,2.0,0.0,0.0,0.0,72.0,2.0,0.0,53.0,0.0,0.0,0.0,58.0,0.0,53.0,0.0,55.0,53.0,55.0,0.0
Japan,2023,2024,1,0.0,0.0,2.0,0.0,0.0,0.0,75.0,1.0,0.0,46.0,0.0,0.0,0.0,50.0,0.0,45.0,0.0,47.0,46.0,47.0,0.0
Jordan,2014,2017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,0.0
Jordan,2015,2020,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,30.0,26.0,30.0,0.0
Jordan,2016,2022,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,23.0,20.0,23.0,0.0
Jordan,2017,2021,3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,21.0,23.0,0.0
Jordan,2018,2022,3,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,23.0,21.0,23.0,0.0
Jordan,2019,2022,3,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,36.0,24.0,36.0,0.0
Jordan,2020,2022,4,0.0,0.0,10.0,0.0,6.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,35.0,24.0,35.0,0.0
Jordan,2021,2023,9,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,28.0,23.0,28.0,0.0
Jordan,2022,2023,9,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,25.0,26.0,21.0,26.0,0.0
Jordan,2023,2024,1,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,31.0,22.0,31.0,0.0
"Korea, South",2014,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,16.0,16.0,0.0
"Korea, South",2015,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0,0.0,14.0,0.0,15.0,0.0,15.0,15.0,15.0,0.0
"Korea, South",2016,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,15.0,0.0,16.0,0.0,16.0,16.0,16.0,0.0
"Korea, South",2017,2022,3,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,18.0,18.0,0.0
"Korea, South",2018,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,19.0,19.0,19.0,0.0
"Korea, South",2019,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,0.0,18.0,0.0,22.0,0.0,22.0,22.0,22.0,0.0
"Korea, South",2020,2023,4,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,27.0,27.0,27.0,0.0
"Korea, South",2021,2023,11,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,36.0,0.0,0.0,0.0,33.0,0.0,36.0,0.0,36.0,36.0,36.0,0.0
"Korea, South",2022,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,22.0,0.0,0.0,0.0,19.0,0.0,22.0,0.0,22.0,22.0,22.0,0.0
"Korea, South",2023,2024,1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0
Lebanon,2014,2018,4,0.0,0.0,5.0,1.0,2.0,0.0,8.0,7.0,0.0,23.0,0.0,0.0,2.0,0.0,0.0,6.0,21.0,32.0,23.0,32.0,0.0
Lebanon,2015,2021,1,0.0,0.0,7.0,1.0,10.0,0.0,5.0,11.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,5.0,23.0,35.0,20.0,35.0,0.0
Lebanon,2016,2021,1,0.0,0.0,11.0,1.0,7.0,0.0,7.0,13.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,3.0,25.0,39.0,23.0,39.0,0.0
Lebanon,2017,2022,5,0.0,0.0,13.0,1.0,6.0,0.0,6.0,12.0,0.0,20.0,0.0,0.0,4.0,0.0,0.0,6.0,17.0,36.0,20.0,36.0,0.0
Lebanon,2018,2022,5,0.0,0.0,12.0,1.0,7.0,0.0,5.0,11.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,3.0,18.0,33.0,18.0,33.0,0.0
Lebanon,2019,2022,5,0.0,0.0,11.0,0.0,3.0,0.0,5.0,9.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,5.0,14.0,30.0,16.0,30.0,0.0
Lebanon,2020,2022,5,0.0,0.0,9.0,0.0,8.0,0.0,3.0,11.0,0.0,23.0,0.0,0.0,5.0,0.0,0.0,4.0,26.0,39.0,23.0,39.0,0.0
Lebanon,2021,2023,4,0.0,0.0,11.0,0.0,5.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,1.0,22.0,34.0,24.0,34.0,0.0
Lebanon,2022,2023,4,0.0,0.0,6.0,0.0,3.0,0.0,4.0,6.0,0.0,26.0,0.0,0.0,4.0,0.0,0.0,3.0,27.0,36.0,26.0,36.0,0.0
Lebanon,2023,2024,1,0.0,0.0,6.0,0.0,4.0,0.0,4.0,3.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,1.0,22.0,29.0,20.0,29.0,0.0
Libya,2014,2018,4,0.0,0.0,6.0,0.0,0.0,0.0,8.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,30.0,20.0,30.0,0.0
Libya,2015,2018,4,0.0,0.0,10.0,0.0,0.0,0.0,8.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,36.0,20.0,36.0,0.0
Libya,2016,2020,2,0.0,0.0,16.0,0.0,0.0,0.0,8.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,33.0,20.0,33.0,0.0
Libya,2017,2020,2,0.0,0.0,13.0,0.0,0.0,0.0,5.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,19.0,31.0,0.0
Libya,2018,2020,2,0.0,0.0,12.0,0.0,0.0,0.0,5.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.0,19.0,28.0,0.0
Libya,2019,2022,5,0.0,0.0,9.0,0.0,0.0,0.0,5.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,29.0,20.0,29.0,0.0
Libya,2020,2023,4,0.0,0.0,9.0,0.0,0.0,0.0,4.0,11.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,31.0,20.0,31.0,0.0
Libya,2021,2023,4,0.0,0.0,11.0,0.0,0.0,0.0,3.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,30.0,20.0,30.0,0.0
Libya,2022,2023,4,0.0,0.0,10.0,0.0,0.0,0.0,4.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,30.0,20.0,30.0,0.0
Libya,2023,2024,1,0.0,0.0,10.0,0.0,0.0,0.0,4.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,30.0,21.0,30.0,0.0
