Country,Market Year,Calendar Year,Month,Area Harvested,Beginning Stocks,Ending Stocks,FSI Consumption,Feed and Residual,MY Exports,MY Imports,Production,TY Exports,TY Imp. from U.S.,TY Imports,Total Consumption,Total Distribution,Total Supply,Yield
Bolivia,2023,2024,1,430.0,119.0,119.0,350.0,775.0,25.0,25.0,1125.0,25.0,0.0,25.0,1125.0,1269.0,1269.0,2.6163
Burma,2014,2023,5,470.0,53.0,8.0,100.0,550.0,1300.0,5.0,1900.0,1300.0,0.0,5.0,650.0,1958.0,1958.0,4.0426
Burma,2015,2023,5,510.0,8.0,48.0,100.0,800.0,1050.0,0.0,1990.0,1050.0,0.0,0.0,900.0,1998.0,1998.0,3.902
Burma,2016,2023,5,520.0,48.0,53.0,100.0,600.0,1500.0,5.0,2200.0,1500.0,0.0,5.0,700.0,2253.0,2253.0,4.2308
Burma,2017,2023,5,540.0,53.0,168.0,70.0,720.0,1350.0,5.0,2250.0,1350.0,0.0,5.0,790.0,2308.0,2308.0,4.1667
Burma,2018,2023,5,585.0,168.0,253.0,70.0,800.0,1500.0,5.0,2450.0,1500.0,0.0,5.0,870.0,2623.0,2623.0,4.188
Burma,2019,2023,5,575.0,253.0,35.0,70.0,350.0,2209.0,11.0,2400.0,2209.0,0.0,11.0,420.0,2664.0,2664.0,4.1739
Burma,2020,2023,5,650.0,35.0,47.0,50.0,350.0,2400.0,12.0,2800.0,2400.0,0.0,12.0,400.0,2847.0,2847.0,4.3077
Burma,2021,2023,5,670.0,47.0,61.0,50.0,400.0,2450.0,14.0,2900.0,2450.0,0.0,14.0,450.0,2961.0,2961.0,4.3284
Burma,2022,2023,9,650.0,61.0,121.0,50.0,400.0,2150.0,10.0,2650.0,2150.0,0.0,10.0,450.0,2721.0,2721.0,4.0769
Burma,2023,2024,1,660.0,121.0,131.0,50.0,600.0,2200.0,10.0,2850.0,2200.0,0.0,10.0,650.0,2981.0,2981.0,4.3182
Belarus,2014,2017,8,112.0,195.0,134.0,50.0,680.0,25.0,95.0,599.0,25.0,0.0,74.0,730.0,889.0,889.0,5.3482
Belarus,2015,2017,8,51.0,134.0,32.0,40.0,320.0,1.0,36.0,223.0,1.0,0.0,37.0,360.0,393.0,393.0,4.3725
Belarus,2016,2017,12,124.0,32.0,60.0,100.0,650.0,0.0,38.0,740.0,0.0,0.0,62.0,750.0,810.0,810.0,5.9677
Belarus,2017,2020,4,130.0,60.0,97.0,100.0,700.0,6.0,149.0,694.0,9.0,0.0,141.0,800.0,903.0,903.0,5.3385
Belarus,2018,2020,4,175.0,97.0,154.0,100.0,1250.0,2.0,271.0,1138.0,0.0,0.0,285.0,1350.0,1506.0,1506.0,6.5029
Belarus,2019,2021,1,190.0,154.0,117.0,100.0,1250.0,4.0,224.0,1093.0,4.0,0.0,188.0,1350.0,1471.0,1471.0,5.7526
Belarus,2020,2021,12,214.0,117.0,64.0,100.0,1000.0,75.0,46.0,1076.0,84.0,0.0,48.0,1100.0,1239.0,1239.0,5.028
Belarus,2021,2022,6,160.0,64.0,74.0,100.0,800.0,15.0,75.0,850.0,15.0,0.0,75.0,900.0,989.0,989.0,5.3125
Belarus,2022,2023,4,175.0,74.0,89.0,100.0,900.0,10.0,50.0,975.0,10.0,0.0,50.0,1000.0,1099.0,1099.0,5.5714
Belarus,2023,2024,1,180.0,89.0,129.0,100.0,900.0,10.0,50.0,1000.0,10.0,0.0,50.0,1000.0,1139.0,1139.0,5.5556
Brazil,2014,2023,6,15750.0,13972.0,7842.0,9000.0,48000.0,34461.0,331.0,85000.0,21909.0,0.0,534.0,57000.0,99303.0,99303.0,5.3968
Brazil,2015,2023,6,16000.0,7842.0,6769.0,8500.0,49000.0,13996.0,3423.0,67000.0,35382.0,1.0,1566.0,57500.0,78265.0,78265.0,4.1875
Brazil,2016,2023,6,17600.0,6769.0,14019.0,9500.0,51000.0,31604.0,854.0,98500.0,19794.0,1.0,2439.0,60500.0,106123.0,106123.0,5.5966
Brazil,2017,2023,6,16600.0,14019.0,9315.0,9500.0,54000.0,24119.0,915.0,82000.0,25116.0,1.0,943.0,63500.0,96934.0,96934.0,4.9398
Brazil,2018,2023,6,17500.0,9315.0,5311.0,10000.0,57000.0,39663.0,1659.0,101000.0,38773.0,0.0,1189.0,67000.0,111974.0,111974.0,5.7714
Brazil,2019,2023,6,18500.0,5311.0,5328.0,10000.0,58500.0,35139.0,1656.0,102000.0,34137.0,0.0,1346.0,68500.0,108967.0,108967.0,5.5135
Brazil,2020,2023,6,19900.0,5328.0,4153.0,10500.0,59500.0,21023.0,2848.0,87000.0,27492.0,1.0,2281.0,70000.0,95176.0,95176.0,4.3719
Brazil,2021,2023,6,21800.0,4153.0,3971.0,11000.0,59500.0,48278.0,2596.0,116000.0,31921.0,1.0,3316.0,70500.0,122749.0,122749.0,5.3211
Brazil,2022,2023,11,22400.0,3971.0,10271.0,12500.0,62500.0,57000.0,1300.0,137000.0,53285.0,0.0,1684.0,75000.0,142271.0,142271.0,6.1161
Brazil,2023,2024,1,22400.0,10271.0,6971.0,14000.0,63500.0,54000.0,1200.0,127000.0,58000.0,0.0,1800.0,77500.0,138471.0,138471.0,5.6696
Bhutan,2014,2023,4,24.0,0.0,0.0,80.0,0.0,0.0,3.0,77.0,0.0,0.0,3.0,80.0,80.0,80.0,3.2083
Bhutan,2015,2023,4,23.0,0.0,0.0,89.0,0.0,0.0,5.0,84.0,0.0,0.0,5.0,89.0,89.0,89.0,3.6522
Bhutan,2016,2023,4,23.0,0.0,0.0,90.0,0.0,0.0,8.0,82.0,0.0,0.0,8.0,90.0,90.0,90.0,3.5652
Bhutan,2017,2023,4,27.0,0.0,0.0,95.0,0.0,0.0,1.0,94.0,0.0,0.0,1.0,95.0,95.0,95.0,3.4815
Bhutan,2018,2023,4,16.0,0.0,0.0,64.0,0.0,0.0,9.0,55.0,0.0,0.0,9.0,64.0,64.0,64.0,3.4375
Bhutan,2019,2023,4,13.0,0.0,0.0,63.0,0.0,0.0,17.0,46.0,0.0,0.0,17.0,63.0,63.0,63.0,3.5385
Bhutan,2020,2023,4,11.0,0.0,0.0,63.0,0.0,0.0,22.0,41.0,0.0,0.0,22.0,63.0,63.0,63.0,3.7273
Bhutan,2021,2023,4,8.0,0.0,0.0,55.0,0.0,0.0,24.0,31.0,0.0,0.0,24.0,55.0,55.0,55.0,3.875
Bhutan,2022,2023,12,8.0,0.0,0.0,52.0,0.0,0.0,21.0,31.0,0.0,0.0,21.0,52.0,52.0,52.0,3.875
Bhutan,2023,2024,1,8.0,0.0,0.0,51.0,0.0,0.0,20.0,31.0,0.0,0.0,20.0,51.0,51.0,51.0,3.875
Burundi,2014,2016,4,97.0,0.0,0.0,178.0,0.0,0.0,50.0,128.0,0.0,0.0,50.0,178.0,178.0,178.0,1.3196
Burundi,2015,2018,5,121.0,0.0,0.0,211.0,0.0,0.0,50.0,161.0,0.0,0.0,50.0,211.0,211.0,211.0,1.3306
Burundi,2016,2020,5,164.0,0.0,0.0,254.0,0.0,0.0,10.0,244.0,0.0,0.0,10.0,254.0,254.0,254.0,1.4878
Burundi,2017,2020,5,176.0,0.0,0.0,238.0,0.0,0.0,10.0,228.0,0.0,0.0,10.0,238.0,238.0,238.0,1.2955
Burundi,2018,2020,5,190.0,0.0,0.0,300.0,0.0,0.0,10.0,290.0,0.0,0.0,10.0,300.0,300.0,300.0,1.5263
Burundi,2019,2021,5,271.0,0.0,0.0,281.0,0.0,0.0,10.0,271.0,0.0,0.0,10.0,281.0,281.0,281.0,1.0
Burundi,2020,2022,5,224.0,0.0,0.0,270.0,0.0,0.0,10.0,260.0,0.0,0.0,10.0,270.0,270.0,270.0,1.1607
Burundi,2021,2022,4,180.0,0.0,0.0,290.0,0.0,0.0,10.0,280.0,0.0,0.0,10.0,290.0,290.0,290.0,1.5556
Burundi,2022,2023,4,180.0,0.0,0.0,290.0,0.0,0.0,10.0,280.0,0.0,0.0,10.0,290.0,290.0,290.0,1.5556
Burundi,2023,2024,1,180.0,0.0,0.0,290.0,0.0,0.0,10.0,280.0,0.0,0.0,10.0,290.0,290.0,290.0,1.5556
Canada,2014,2020,5,1249.0,1597.0,1518.0,5397.0,7426.0,423.0,1561.0,11606.0,395.0,1474.0,1536.0,12823.0,14764.0,14764.0,9.2922
Canada,2015,2021,5,1340.0,1518.0,2242.0,5281.0,6956.0,1741.0,1022.0,13680.0,1767.0,951.0,958.0,12237.0,16220.0,16220.0,10.209
Canada,2016,2021,5,1414.0,2242.0,2497.0,5202.0,7616.0,1522.0,706.0,13889.0,1544.0,683.0,686.0,12818.0,16837.0,16837.0,9.8225
Canada,2017,2021,5,1406.0,2497.0,2417.0,5189.0,8720.0,1936.0,1669.0,14096.0,1973.0,1759.0,1767.0,13909.0,18262.0,18262.0,10.0256
Canada,2018,2021,5,1431.0,2417.0,1979.0,5805.0,9283.0,1797.0,2562.0,13885.0,1719.0,2467.0,2521.0,15088.0,18864.0,18864.0,9.703
Canada,2019,2023,10,1451.0,1979.0,2560.0,5317.0,8641.0,708.0,1843.0,13404.0,712.0,1746.0,1867.0,13958.0,17226.0,17226.0,9.2378
Canada,2020,2023,10,1408.0,2560.0,2169.0,5391.0,8585.0,1558.0,1580.0,13563.0,1592.0,1766.0,1550.0,13976.0,17703.0,17703.0,9.6328
Canada,2021,2023,10,1462.0,2169.0,2746.0,5813.0,12171.0,2191.0,6141.0,14611.0,2200.0,6042.0,6108.0,17984.0,22921.0,22921.0,9.9938
Canada,2022,2023,12,1444.0,2746.0,1628.0,5343.0,9583.0,2860.0,2129.0,14539.0,2789.0,2030.0,2237.0,14926.0,19414.0,19414.0,10.0686
Canada,2023,2024,1,1519.0,1628.0,2104.0,5500.0,10500.0,1800.0,3200.0,15076.0,1800.0,0.0,3200.0,16000.0,19904.0,19904.0,9.925
Cambodia,2014,2022,12,217.0,51.0,78.0,350.0,250.0,300.0,0.0,927.0,300.0,0.0,0.0,600.0,978.0,978.0,4.2719
Cambodia,2015,2022,12,136.0,78.0,78.0,350.0,100.0,100.0,0.0,550.0,100.0,0.0,0.0,450.0,628.0,628.0,4.0441
Cambodia,2016,2022,12,104.0,78.0,68.0,200.0,150.0,100.0,40.0,400.0,100.0,0.0,40.0,350.0,518.0,518.0,3.8462
Cambodia,2017,2022,12,141.0,68.0,131.0,200.0,250.0,200.0,50.0,663.0,200.0,0.0,50.0,450.0,781.0,781.0,4.7021
Cambodia,2018,2022,12,206.0,131.0,223.0,200.0,450.0,500.0,70.0,1172.0,500.0,0.0,70.0,650.0,1373.0,1373.0,5.6893
